Employee_ID,Name,Age,Department,Experience,Monthly_Salary,Join_Date
1,Karan,29.0,IT,18,28271.0,2023/01/02
2,Arjun,52.0,Finance,24,78915.0,"Jan 03, 2023"
3,Amit,34.0,Finance,3,83944.0,04-01-2023
4,Arjun,48.0,Sales,19,20276.0,2023/01/05
5,Neha,,IT,18,33399.0,"Jan 06, 2023"
6,Riya,22.0,HR,0,21206.0,07-01-2023
7,Pooja,48.0,HR,23,23806.0,2023/01/08
8,Pooja,49.0,,30,84987.0,"Jan 09, 2023"
9,Arjun,43.0,Sales,7,48676.0,10-01-2023
10,Rahul,22.0,Sales,13,200000.0,2023/01/11
11,Pooja,28.0,Finance,23,63607.0,"Jan 12, 2023"
12,Karan,53.0,Sales,26,44883.0,13-01-2023
13,Riya,52.0,IT,27,86228.0,2023/01/14
14,Riya,51.0,HR,7,72990.0,"Jan 15, 2023"
15,Priya,44.0,Finance,17,69113.0,16-01-2023
16,Pooja,53.0,Finance,3,,2023/01/17
17,Arjun,44.0,IT,15,23876.0,"Jan 18, 2023"
18,Rahul,40.0,HR,22,71589.0,19-01-2023
19,Sneha,53.0,HR,7,21612.0,2023/01/20
20,Vikas,46.0,Sales,16,65065.0,"Jan 21, 2023"
21,Pooja,50.0,IT,29,55294.0,22-01-2023
22,Rahul,45.0,HR,25,87174.0,2023/01/23
23,Arjun,48.0,Sales,30,27356.0,"Jan 24, 2023"
24,Riya,33.0,Finance,30,86154.0,25-01-2023
25,Amit,43.0,Sales,13,65361.0,2023/01/26
26,Sneha,50.0,HR,19,23666.0,"Jan 27, 2023"
27,Pooja,32.0,Sales,27,32006.0,28-01-2023
28,Priya,23.0,IT,26,29234.0,2023/01/29
29,Sneha,49.0,Sales,0,56857.0,"Jan 30, 2023"
30,Neha,28.0,Sales,25,44197.0,31-01-2023
31,Karan,25.0,HR,5,40922.0,2023/02/01
32,Arjun,38.0,Sales,20,58599.0,"Feb 02, 2023"
33,Amit,52.0,Sales,15,34967.0,03-02-2023
34,Sneha,45.0,Sales,10,75170.0,2023/02/04
35,Sneha,27.0,Finance,8,86861.0,"Feb 05, 2023"
36,Riya,22.0,HR,7,22341.0,06-02-2023
37,Arjun,23.0,Finance,23,41001.0,2023/02/07
38,Pooja,55.0,Finance,26,48914.0,"Feb 08, 2023"
39,Riya,35.0,Sales,16,24023.0,09-02-2023
40,Rahul,48.0,HR,1,59138.0,2023/02/10
41,Priya,24.0,Sales,9,29270.0,"Feb 11, 2023"
42,Riya,40.0,Sales,23,40736.0,12-02-2023
43,Vikas,29.0,HR,0,24969.0,2023/02/13
44,Amit,50.0,Finance,5,86699.0,"Feb 14, 2023"
45,Sneha,33.0,Finance,11,32979.0,15-02-2023
46,Riya,33.0,Sales,15,33687.0,2023/02/16
47,Neha,53.0,Finance,15,22254.0,"Feb 17, 2023"
48,Sneha,39.0,Sales,0,40573.0,18-02-2023
49,Sneha,29.0,Sales,10,76261.0,2023/02/19
50,Pooja,27.0,Sales,26,200000.0,"Feb 20, 2023"
51,Sneha,55.0,IT,15,89798.0,21-02-2023
52,Rahul,23.0,HR,2,37434.0,2023/02/22
53,Neha,55.0,Sales,6,55128.0,"Feb 23, 2023"
54,Priya,44.0,Sales,10,64601.0,24-02-2023
55,Rahul,36.0,IT,27,84067.0,2023/02/25
56,Priya,41.0,Finance,1,73293.0,"Feb 26, 2023"
57,Neha,30.0,IT,26,36386.0,27-02-2023
58,Vikas,45.0,IT,2,49322.0,2023/02/28
59,Vikas,38.0,IT,11,58738.0,"Mar 01, 2023"
60,Priya,50.0,IT,28,56330.0,02-03-2023
61,Priya,39.0,Finance,0,21906.0,2023/03/03
62,Sneha,28.0,HR,26,25245.0,"Mar 04, 2023"
63,Arjun,47.0,HR,5,35146.0,05-03-2023
64,Riya,36.0,Finance,5,33478.0,2023/03/06
65,Pooja,55.0,Sales,29,58538.0,"Mar 07, 2023"
66,Sneha,51.0,Sales,10,33124.0,08-03-2023
